Task,Project,Category,Phase,Status,Priority,Target Month,Start Date,Due Date,Dependencies,Notes,Owner
Disable email confirmation (Supabase Auth),SulongRide,Backend,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,,MVP: riders/drivers sign up without email link; confirm in Supabase Dashboard → Auth → Email; Verified full QA Jul 5 (dev/UAT/main),
Configure fare_config to flat ₱40,SulongRide,Backend,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,fare_config table + seed,₱40 flat active in Supabase; verified via admin Fare tab (Jun 26),
Verify full MVP on physical devices,SulongRide,Testing,Phase 0,Done,P0,Jul 2026,2026-07-01,2026-07-31,"Rider Auth, Driver Auth, Book ride, Trip lifecycle",Full two-phone E2E verified on iPhone 12 Pro Max + iPhone 16 (Jun 26),
Rider authentication (login/register),SulongRide,Rider App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Supabase Auth,Verified on physical iPhones; Verified full QA Jul 5 (dev/UAT/main),
Map + GPS location,SulongRide,Rider App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Google Maps native key,Verified on physical iPhones; Verified full QA Jul 5 (dev/UAT/main),
Places search (autocomplete),SulongRide,Rider App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Google web services key,Pickup + dropoff search; custom pickup for booking on behalf of others (Jun 25); Verified full QA Jul 5 (dev/UAT/main),
Route display (Directions API),SulongRide,Rider App,Phase 0,Done,P1,Jun 2026,2026-06-01,2026-06-30,Places search,Route on home + active trip; ETA uses Directions duration (not km-as-minutes); Verified full QA Jul 5 (dev/UAT/main),
Fare estimate from fare_config,SulongRide,Rider App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Configure fare_config to flat ₱40,Verified on device; Verified full QA Jul 5 (dev/UAT/main),
Book ride,SulongRide,Rider App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,"Map + GPS, Fare estimate",Real two-phone bookings working; custom pickup supported; Verified full QA Jul 5 (dev/UAT/main),
Live trip tracking screen,SulongRide,Rider App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,"Book ride, Supabase Realtime","Grab-like map: pickup/dropoff/driver pins, road route polyline, live ETA, recenter; removed broken straight dashed line; Verified full QA Jul 5 (dev/UAT/main)",
Rider active trip resume on app reopen,SulongRide,Rider App,Phase 0,Done,P0,Jun 2026,2026-06-24,2026-06-30,Live trip tracking screen,Splash/login redirects to /trip/:id if active trip exists; Continue trip banner on home; Verified full QA Jul 5 (dev/UAT/main),
Change pickup location (book for others),SulongRide,Rider App,Phase 0,Done,P1,Jun 2026,2026-06-24,2026-06-30,Places search,Tap Change on Pickup → search address or use my location; recalculates route/fare; Verified full QA Jul 5 (dev/UAT/main),
Cancel ride (basic),SulongRide,Rider App,Phase 0,Done,P1,Jun 2026,2026-06-01,2026-06-30,Live trip,Sets status=cancelled; cancellation rules (fees/windows) are Phase 2; Verified full QA Jul 5 (dev/UAT/main),
Driver on map (nearby + assigned),SulongRide,Rider App,Phase 0,Done,P1,Jun 2026,2026-06-01,2026-06-30,Supabase Realtime drivers,Green driver marker updates from Supabase stream during active trip; Verified full QA Jul 5 (dev/UAT/main),
In-trip chat,SulongRide,Rider App,Phase 0,Done,P2,Jun 2026,2026-06-01,2026-06-30,messages table,Optimistic send; status labels Sending.. / Sent.... / Read...; delivered/read acks; chat from accepted onward; Verified full QA Jul 5 (dev/UAT/main),
Ride history,SulongRide,Rider App,Phase 0,Done,P2,Jun 2026,2026-06-01,2026-06-30,Book ride,Back to home after submit rating; Verified full QA Jul 5 (dev/UAT/main),
Profile view,SulongRide,Rider App,Phase 0,Done,P1,Jun 2026,2026-06-01,2026-06-30,Rider authentication,Read-only; edit is Phase 2; Verified full QA Jul 5 (dev/UAT/main),
"Profile edit (name, phone, photo)",SulongRide,Rider App,Phase 2,Not Started,P1,Sep 2026,2026-09-01,2026-09-30,Profile view,Top priority per PM; allow riders to update profile fields,
GCash hold ₱40 at booking,SulongRide,Payments,Phase 2,Not Started,P0,Sep 2026,2026-09-01,2026-09-30,"GCash merchant account integration, trips payment_status columns",Authorize/hold ₱40 when rider books; release on cancel,
GCash capture ₱40 at trip end,SulongRide,Payments,Phase 2,Not Started,P0,Oct 2026,2026-10-01,2026-10-31,GCash hold ₱40 at booking,Capture held amount when trip completes; optional auto-capture toggle,
GCash release on cancel,SulongRide,Payments,Phase 2,Not Started,P0,Sep 2026,2026-09-01,2026-09-30,GCash hold ₱40 at booking,Release authorization when trip is cancelled per cancellation rules,
Post-trip ratings,SulongRide,Rider App,Phase 2,Done,P1,Oct 2026,2026-10-01,2026-10-31,Trip lifecycle,Verified in Dev QA Jul 5 (rating saved on trip complete),
FCM push notifications,SulongRide,Rider App,Phase 1,Not Started,P0,Aug 2026,2026-08-01,2026-08-31,Firebase Cloud Messaging project setup,Deferred pending budget (Jul 5). Pilot uses Realtime + local notifications; fcm_token column ready,
Settings screen stub,SulongRide,Rider App,Phase 0,Done,P2,Jun 2026,2026-06-01,2026-06-30,,Demo mode toggle; coming-soon placeholders; Verified full QA Jul 5 (dev/UAT/main),
Carmona places search bias,SulongRide,Rider App,Phase 0,Done,P1,Jul 2026,2026-07-01,2026-07-31,Places search,Carmona center + 35km radius; verified after reinstall (Jun 26),
iOS Live Activities (Dynamic Island),SulongRide,Rider App,Phase 0,Done,P2,Jun 2026,2026-06-15,2026-06-30,Live trip tracking screen,TripLiveActivity extension; endAll + reconcile on startup/cancel/no-trip fix (Jul 4); reinstalled iPhone 16; Verified full QA Jul 5 (dev/UAT/main),
Driver authentication + registration,SulongRide,Driver App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Supabase Auth,Verified on physical iPhones; Verified full QA Jul 5 (dev/UAT/main),
Online/offline toggle,SulongRide,Driver App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,drivers.is_online column,Verified; restores online state from DB on launch; Verified full QA Jul 5 (dev/UAT/main),
Location broadcast while online,SulongRide,Driver App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Online/offline toggle,5s tick online; 2s during active trip for smoother rider tracking; Verified full QA Jul 5 (dev/UAT/main),
Incoming trip requests,SulongRide,Driver App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Supabase Realtime trips,Duplicate popup guards when driver has active/declined trip; Verified full QA Jul 5 (dev/UAT/main),
Accept/decline trips,SulongRide,Driver App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Incoming trip requests,Verified two-phone flow; Verified full QA Jul 5 (dev/UAT/main),
"Trip lifecycle controls (arrive, complete)",SulongRide,Driver App,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Accept/decline trips,accepted→ongoing→completed; cash payment gate before complete (collect → Payment received → slide to confirm); reinstalled iPhone 16 Jul 4; run fix_trip_cash_payment.sql; Verified full QA Jul 5 (dev/UAT/main),
Driver external navigation (Waze / Google Maps),SulongRide,Driver App,Phase 0,Done,P1,Jun 2026,2026-06-23,2026-06-30,Trip lifecycle controls,Navigate to pickup/drop-off; picker when both apps installed; saves in-app Directions API usage; Verified full QA Jul 5 (dev/UAT/main),
In-trip chat,SulongRide,Driver App,Phase 0,Done,P2,Jun 2026,2026-06-01,2026-06-30,messages table,Same chat stack as rider; from accepted onward; delivery status labels; Verified full QA Jul 5 (dev/UAT/main),
Trip history,SulongRide,Driver App,Phase 0,Done,P2,Jun 2026,2026-06-01,2026-06-30,Trip lifecycle controls,Verified on device; Verified full QA Jul 5 (dev/UAT/main),
Driver profile view,SulongRide,Driver App,Phase 0,Done,P1,Jun 2026,2026-06-01,2026-06-30,Driver authentication + registration,Verified on device; Verified full QA Jul 5 (dev/UAT/main),
Driver active trip banner + resume,SulongRide,Driver App,Phase 0,Done,P1,Jun 2026,2026-06-01,2026-06-30,Trip lifecycle controls,Continue trip banner on home when stuck/active trip blocks new bookings; Verified full QA Jul 5 (dev/UAT/main),
iOS Live Activities (Dynamic Island),SulongRide,Driver App,Phase 0,Done,P2,Jun 2026,2026-06-15,2026-06-30,Trip lifecycle controls,DriverTripLiveActivityService; fixed stuck En route island when no active trip (Jul 4); reinstalled iPhone 16; Verified full QA Jul 5 (dev/UAT/main),
Operator approval gate (block online if unapproved),SulongRide,Driver App,Phase 1,Done,P0,Aug 2026,2026-08-01,2026-08-31,"Admin: Driver approval queue, drivers.approval_status column",Verified via admin approve + driver online gate in two-phone E2E (Jun 26),
FCM push notifications,SulongRide,Driver App,Phase 1,Not Started,P0,Aug 2026,2026-08-01,2026-08-31,Firebase Cloud Messaging project setup,Deferred pending budget (Jul 5). Pilot uses Realtime + local notifications; fcm_token column ready,
Android build + on-device testing,SulongRide,Driver App,Phase 1,Done,P0,Aug 2026,2026-08-01,2026-08-31,Android Maps API keys configuration,Maps + location + trip flow verified on Android device Jul 5,
Operator authentication,SulongRide,Admin Web,Phase 1,Done,P0,Aug 2026,2026-08-01,2026-08-31,,Operator login working in etrike_ph_admin Chrome (Jun 26),
Driver approval queue,SulongRide,Admin Web,Phase 1,Done,P0,Aug 2026,2026-08-01,2026-08-31,"Operator authentication, drivers.approval_status column",Pending Approve/Reject verified (Jun 26),
Approved drivers list,SulongRide,Admin Web,Phase 1,Done,P1,Aug 2026,2026-08-01,2026-08-31,Driver approval queue,Approved + Revoke verified (Jun 26),
Fare editor (₱40 flat),SulongRide,Admin Web,Phase 1,Done,P0,Aug 2026,2026-08-01,2026-08-31,"Operator authentication, fare_config table",Fare tab verified after fix_carmona_pilot.sql (Jun 26),
Trip list (optional),SulongRide,Admin Web,Phase 1,Not Started,P2,Aug 2026,2026-08-01,2026-08-31,Operator authentication,Optional ops dashboard for monitoring active/recent trips,User
"Supabase core tables (users, drivers, trips)",SulongRide,Backend,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,,SQL scripts in etrike_ph_user/supabase and etrike_ph_driver/supabase; Verified full QA Jul 5 (dev/UAT/main),
Row-level security policies,SulongRide,Backend,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Supabase core tables,"fix_trips_rls.sql, apply_mvp_fixes.sql, fix_users_rls.sql; verify on live project; Verified full QA Jul 5 (dev/UAT/main)",
"Realtime publication (trips, drivers, messages)",SulongRide,Backend,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,Supabase core tables,Enable supabase_realtime for trips + drivers + messages in Dashboard → Replication; Verified full QA Jul 5 (dev/UAT/main),
fare_config table + active row,SulongRide,Backend,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,,fix_carmona_pilot.sql run completely in SQL Editor (Jun 25),
messages table for in-trip chat,SulongRide,Backend,Phase 0,Done,P2,Jun 2026,2026-06-01,2026-06-30,Supabase core tables,fix_messages_table.sql + delivered_at/read_at + update RLS; run in SQL Editor; Verified full QA Jul 5 (dev/UAT/main),
trips.completed_at column,SulongRide,Backend,Phase 0,Done,P1,Jun 2026,2026-06-20,2026-06-30,Supabase core tables,fix_trips_completed_at.sql; app fallback if column missing; Verified full QA Jul 5 (dev/UAT/main),
drivers.approval_status column,SulongRide,Backend,Phase 1,Done,P0,Aug 2026,2026-08-01,2026-08-31,Supabase core tables,Deployed via fix_carmona_pilot.sql; admin approval flow verified (Jun 26),
trips payment_status columns,SulongRide,Backend,Phase 2,Not Started,P0,Sep 2026,2026-09-01,2026-09-30,GCash merchant account integration,Track authorize/hold/capture/release states per trip,
Consolidated SQL migration scripts,SulongRide,Backend,Phase 0,Done,P1,Jun 2026,2026-06-01,2026-06-30,,"apply_mvp_fixes.sql, fix_drivers_schema.sql, fix_stuck_driver_trips.sql, backfill scripts; Verified full QA Jul 5 (dev/UAT/main)",
Cancellation rules (backend + app logic),SulongRide,Backend,Phase 2,Not Started,P1,Oct 2026,2026-10-01,2026-10-31,GCash release on cancel,"Define rider/driver cancel windows, fees, and payment release behavior",
GCash optional auto-capture toggle,SulongRide,Backend,Phase 2,Not Started,P2,Oct 2026,2026-10-01,2026-10-31,GCash capture ₱40 at trip end,Operator-configurable flag to auto-capture vs manual capture,
Google Maps API key split (native + web services),SulongRide,Infrastructure,Phase 0,Done,P0,Jun 2026,2026-06-01,2026-06-30,,"Two-key setup documented in README; native key in Info.plist/manifest, web key in keys.dart; Verified full QA Jul 5 (dev/UAT/main)",
iOS device testing (rider + driver),SulongRide,Infrastructure,Phase 0,Done,P0,Jul 2026,2026-07-01,2026-07-31,Google Maps API key split,Release builds reinstalled on iPhone 12 Pro Max + iPhone 16 (Jun 26),
Android Maps API keys configuration,SulongRide,Infrastructure,Phase 1,Done,P0,Aug 2026,2026-08-01,2026-08-31,Google Maps API key split,Package name + SHA-1 restrictions verified working on Android Jul 5,
Firebase Cloud Messaging project setup,SulongRide,Infrastructure,Phase 1,Not Started,P0,Aug 2026,2026-08-01,2026-08-31,,Deferred pending budget (Jul 5). FCM is free; enable when budget approved. Edge function notify-chat-message ready,
GCash merchant account integration,SulongRide,Infrastructure,Phase 2,Not Started,P0,Sep 2026,2026-09-01,2026-09-30,,"Merchant onboarding, sandbox/prod credentials, webhook endpoints",
Move API keys out of keys.dart (secrets hygiene),SulongRide,Infrastructure,Phase 3,Not Started,P0,Nov 2026,2026-11-01,2026-11-30,,Use env/build-time injection or secure storage before production/TestFlight,
TestFlight distribution (rider + driver),SulongRide,Infrastructure,Phase 3,Not Started,P0,Nov 2026,2026-11-01,2026-11-30,"Move API keys out of keys.dart, QA all devices",Target November 2026 for both etrike_ph_user and etrike_ph_driver,
Rider iPhone retest after API key split,SulongRide,Testing,Phase 0,Done,P0,Jul 2026,2026-07-01,2026-07-31,Google Maps API key split,Verified in full two-phone E2E (Jun 26),
Driver iPhone smoke test,SulongRide,Testing,Phase 0,Done,P0,Jul 2026,2026-07-01,2026-07-31,Driver authentication + registration,Full Dev QA passed Jul 5 (online→accept→cash slide→complete),
Two-phone E2E (book→accept→complete),SulongRide,Testing,Phase 0,Done,P0,Jul 2026,2026-07-01,2026-07-31,"Rider iPhone retest, Driver iPhone smoke test",Full flow verified book→accept→chat→track→complete (Jun 26),
QA on iPhone 12 Pro Max,SulongRide,Testing,Phase 0,Done,P1,Jun 2026,2026-06-20,2026-07-31,iOS device testing,Rider + driver reinstalled and E2E tested (Jun 26),
QA on iPhone 16,SulongRide,Testing,Phase 0,Done,P1,Jun 2026,2026-06-24,2026-07-31,iOS device testing,Second phone used in two-phone E2E (Jun 26),
QA on Android device,SulongRide,Testing,Phase 3,Done,P0,Nov 2026,2026-11-01,2026-11-30,Android build + on-device testing,Rider + driver apps verified on Android Jul 5,
Recruit and onboard 5 Carmona drivers,SulongRide,Infrastructure,Phase 4,Not Started,P0,Nov 2026,2026-11-01,2026-11-30,"Admin: Driver approval queue, Operator approval gate",Day-one pilot requires 5 approved drivers in Carmona,
Revoked drivers re-approve,SulongRide,Admin Web,Phase 1,Done,P1,Aug 2026,2026-06-25,2026-08-31,Approved drivers list,Revoked tab Approve again; admin web verified (Jun 26),
Carmona pilot launch (5 drivers),SulongRide,Testing,Phase 4,Not Started,P0,Dec 2026,2026-12-01,2026-12-31,"TestFlight distribution, GCash capture ₱40 at trip end, Admin Web complete","Admin + iOS + Android QA complete Jul 5; next: recruit 5 drivers + TestFlight + GCash (FCM deferred)",
Admin web hosting / deploy,SulongRide,Admin Web,Phase 1,Done,P1,Aug 2026,2026-08-01,2026-08-31,Operator authentication,Vercel main + dev + UAT; full QA passed all branches Jul 5,
Operator RBAC (viewer / HR / dispatcher),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Operator authentication,Role-based nav + write access; SQL fix_operator_rbac_viewer + fix_operator_roles_hr_dispatcher; pushed Jul 4,
Operator invite links (/team),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Operator authentication,/invite/{token} flow + Team page; fix_operator_invites.sql,
Driver onboarding wizard (admin web),SulongRide,Admin Web,Phase 1,Done,P0,Jul 2026,2026-07-01,2026-07-31,Driver approval queue,7-step pipeline + doc review verified in Dev QA Jul 5,
Compliance document verify/reject,SulongRide,Admin Web,Phase 1,Done,P0,Jul 2026,2026-07-04,2026-07-31,Driver onboarding wizard (admin web),Per-doc Verify/Reject on driver profile + onboarding review; commit 74086e6,
Require documents (approved→pending),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-04,2026-07-31,Compliance document verify/reject,RequireDocumentsModal on approved drivers; driver must re-upload in app,
Attendance calendar & shift scheduling,SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-04,2026-07-31,Operator authentication,/attendance month calendar + daily roster; Work schedule + per-driver calendar on profile; commit bc540d5,
Fleet management (admin web),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Operator authentication,/fleet CRUD + assign + maintenance log verified in Dev QA Jul 5,
Driver onboarding lock (driver app),SulongRide,Driver App,Phase 1,Done,P0,Jul 2026,2026-07-04,2026-07-31,Operator approval gate,Incomplete docs stay on onboarding only; clickable steps + remove/re-upload rejected docs,
Cash payment slide-to-confirm (driver app),SulongRide,Driver App,Phase 0,Done,P0,Jul 2026,2026-07-04,2026-07-31,Trip lifecycle controls,End trip→collect cash→slide confirm→complete verified Dev QA Jul 5,
trips.cash_payment_confirmed_at column,SulongRide,Backend,Phase 0,Done,P1,Jul 2026,2026-07-04,2026-07-31,Supabase core tables,fix_trip_cash_payment.sql verified via cash slide flow Dev QA Jul 5,
Payroll module (admin web),SulongRide,Admin Web,Phase 1,Done,P0,Jul 2026,2026-07-01,2026-07-31,Operator authentication,Deduction settings + draft/finalize/paid + cash advance verified Dev QA Jul 5,
Training status dashboard (admin web),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Driver onboarding wizard (admin web),/training tab + mark onsite on driver detail; fix_driver_training.sql; Verified full QA Jul 5 (dev/UAT/main),
Leave requests (admin web),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Operator authentication,/leave approve/deny; driver app leave screen; Verified full QA Jul 5 (dev/UAT/main),
Audit logs (admin web),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Operator authentication,/audit searchable log; fix_audit_logs.sql; Verified full QA Jul 5 (dev/UAT/main),
App maintenance scheduling (admin web),SulongRide,Admin Web,Phase 1,Done,P0,Jul 2026,2026-07-01,2026-07-31,Operator authentication,Schedule/end maintenance + block + notify verified Dev QA Jul 5,
Permanent delete driver/fleet (admin web),SulongRide,Admin Web,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Operator authentication,Password + name/plate confirm; fix_admin_delete_records.sql; Verified full QA Jul 5 (dev/UAT/main),
Driver training quiz (driver app),SulongRide,Driver App,Phase 1,Done,P0,Jul 2026,2026-07-01,2026-07-31,Driver onboarding lock (driver app),5 modules + quiz ≥80%; blocks Online until complete; Verified full QA Jul 5 (dev/UAT/main),
Post-approval welcome tour (driver app),SulongRide,Driver App,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Operator approval gate,Shown once after approval; replay in Settings; Verified full QA Jul 5 (dev/UAT/main),
Fleet unit assignment gate (driver app),SulongRide,Driver App,Phase 1,Done,P0,Jul 2026,2026-07-01,2026-07-31,Fleet management (admin web),Blocks Online until admin assigns e-trike; Verified full QA Jul 5 (dev/UAT/main),
Driver HR attendance (driver app),SulongRide,Driver App,Phase 1,Done,P1,Jul 2026,2026-07-01,2026-07-31,Attendance calendar & shift scheduling,Clock in/out; syncs to admin Attendance; Verified full QA Jul 5 (dev/UAT/main),
